name,count,changed,beforeNorm,afterNorm,deltaNorm,maxAbsDelta,beforeFinite,afterFinite
roberta.encoder.layer.10.output.LayerNorm.bias,768,768,1.6343361318517493,1.6342507909185489,0.0017279999809142292,9.78522002696991e-05,True,True
roberta.encoder.layer.10.output.LayerNorm.weight,768,768,21.999420348947055,21.999461223687394,0.0014090298494894603,9.614229202270508e-05,True,True
roberta.encoder.layer.10.output.dense.bias,768,768,1.5061224220296976,1.5059990612206273,0.0017025506542369662,9.683705866336823e-05,True,True
roberta.encoder.layer.10.output.dense.weight,2359296,2359271,62.89902436551502,62.899238133855505,0.0797808033743084,0.00010590255260467529,True,True
roberta.encoder.layer.11.attention.output.LayerNorm.bias,768,768,2.7388671503748485,2.739303205134562,0.0017260070388726886,9.841471910476685e-05,True,True
roberta.encoder.layer.11.attention.output.LayerNorm.weight,768,768,19.40474695043291,19.404731126328294,0.0014248020021335912,9.751319885253906e-05,True,True
roberta.encoder.layer.11.attention.output.dense.bias,768,768,2.2181516442986116,2.2180310793473326,0.0017101535705989067,9.845569729804993e-05,True,True
roberta.encoder.layer.11.attention.output.dense.weight,589824,589817,29.462892389318927,29.462967215757264,0.04008017282514547,0.00010569393634796143,True,True
roberta.encoder.layer.11.attention.self.key.bias,768,764,0.35938714963942076,0.3593871275490701,1.2524220305043738e-06,2.150627551600337e-07,True,True
roberta.encoder.layer.11.attention.self.key.weight,589824,589788,51.46438611446969,51.46448194144939,0.025284810200677243,9.539909660816193e-05,True,True
roberta.encoder.layer.11.attention.self.query.bias,768,768,3.9453901176093957,3.945160742033793,0.0011226341657045872,9.304285049438477e-05,True,True
roberta.encoder.layer.11.attention.self.query.weight,589824,589788,52.28493520799808,52.28500362371934,0.025401548593655704,9.97595489025116e-05,True,True
roberta.encoder.layer.11.attention.self.value.bias,768,768,0.41801495225147123,0.4181251601387716,0.0017285010379477935,9.889621287584305e-05,True,True
roberta.encoder.layer.11.attention.self.value.weight,589824,589819,35.80550459776372,35.80553474264183,0.039490696743037325,0.00010674446821212769,True,True
roberta.encoder.layer.11.intermediate.dense.bias,3072,3072,4.170698978256931,4.17083392837351,0.002871675065203806,0.0001004151999950409,True,True
roberta.encoder.layer.11.intermediate.dense.weight,2359296,2359230,70.50219324462482,70.50225282566184,0.06874194922892686,0.00010647001909092069,True,True
roberta.encoder.layer.11.output.LayerNorm.bias,768,768,1.4943025336178926,1.4942726090740732,0.0015940573649070573,9.538047015666962e-05,True,True
roberta.encoder.layer.11.output.LayerNorm.weight,768,768,21.709138655602935,21.708676270336053,0.0015061266503768069,9.649991989135742e-05,True,True
roberta.encoder.layer.11.output.dense.bias,768,768,1.5571865960604347,1.5570699759735194,0.0016282320234861682,9.697303175926208e-05,True,True
roberta.encoder.layer.11.output.dense.weight,2359296,2359260,53.73931112485734,53.73907859317292,0.07820188951565324,0.00010570604354143143,True,True
roberta.encoder.layer.2.attention.output.LayerNorm.bias,768,768,3.177171941438613,3.177110891130308,0.0011532495803758748,9.15825366973877e-05,True,True
roberta.encoder.layer.2.attention.output.LayerNorm.weight,768,767,21.47716927856055,21.47721586478516,0.0007554132713632461,8.285045623779297e-05,True,True
roberta.encoder.layer.2.attention.output.dense.bias,768,768,1.9904993039187568,1.990478578161852,0.0011670410244090709,9.236857295036316e-05,True,True
roberta.encoder.layer.2.attention.output.dense.weight,589824,589805,30.60777266164518,30.607806522601436,0.021017223443243426,9.930040687322617e-05,True,True
